,POS,BIB,ATHLETE,COUNTRY,MARK,Reaction Time,index,name,venue,date,country,event,sex,round,url,ms*,Split,Mark,Athlete
0,1.0,1452.0,Natacha NGOYE AKAMABI,CGO,11.47 Q SB,0.124,0,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,preliminary-round,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/preliminary-round/result,,,,
1,2.0,3461.0,Maggie BARRIE,SLE,11.53 Q SB,0.142,0,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,preliminary-round,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/preliminary-round/result,,,,
2,3.0,3459.0,Amya CLARKE,SKN,11.67 Q,0.155,0,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,preliminary-round,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/preliminary-round/result,,,,
3,4.0,2954.0,Djénébou DANTÉ,MLI,12.12 SB,0.169,0,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,preliminary-round,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/preliminary-round/result,,,,
4,5.0,2845.0,Hadel ABOUD,LBA,12.70 PB,0.126,0,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,preliminary-round,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/preliminary-round/result,,,,
5,6.0,3288.0,Bashair Obaid AL MANWARI,QAT,13.12 PB,0.142,0,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,preliminary-round,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/preliminary-round/result,,,,
6,7.0,1001.0,Kimia YOUSOFI,AFG,13.29 NR,0.157,0,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,preliminary-round,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/preliminary-round/result,,,,
7,8.0,2094.0,Alba Rosana MBO NCHAMA,GEQ,13.36 PB,0.148,0,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,preliminary-round,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/preliminary-round/result,,,,
8,9.0,1560.0,Amed ELNA,COM,14.30 PB,0.161,0,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,preliminary-round,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/preliminary-round/result,,,,
0,1.0,2316.0,Fasihi FARZANEH,IRI,11.76 Q,0.142,0,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,preliminary-round,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/preliminary-round/result,,,,
1,2.0,2905.0,Azreen NABILA ALIAS,MAS,11.77 Q PB,0.168,0,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,preliminary-round,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/preliminary-round/result,,,,
2,3.0,2828.0,Mudhawi ALSHAMMARI,KUW,11.82 Q,0.167,0,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,preliminary-round,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/preliminary-round/result,,,,
3,4.0,2248.0,Regine TUGADE-WATSON,GUM,12.17 SB,0.135,0,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,preliminary-round,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/preliminary-round/result,,,,
