name,type,year,venue,date_from,date_to,athlete,bib,country,sex,discipline,round,reaction_time,time,time_string,pos
The XXXII Olympic Games (Athletics),OLY,2021,"Olympic Stadium, Tokyo",2021-07-30,2021-08-08,Natacha NGOYE AKAMABI,1452.0,CGO,F,100-metres,preliminary-round,0.124,11.47,11.47 Q SB,1.0
The XXXII Olympic Games (Athletics),OLY,2021,"Olympic Stadium, Tokyo",2021-07-30,2021-08-08,Maggie BARRIE,3461.0,SLE,F,100-metres,preliminary-round,0.142,11.53,11.53 Q SB,2.0
The XXXII Olympic Games (Athletics),OLY,2021,"Olympic Stadium, Tokyo",2021-07-30,2021-08-08,Amya CLARKE,3459.0,SKN,F,100-metres,preliminary-round,0.155,11.67,11.67 Q,3.0
The XXXII Olympic Games (Athletics),OLY,2021,"Olympic Stadium, Tokyo",2021-07-30,2021-08-08,Djénébou DANTÉ,2954.0,MLI,F,100-metres,preliminary-round,0.169,12.12,12.12 SB,4.0
The XXXII Olympic Games (Athletics),OLY,2021,"Olympic Stadium, Tokyo",2021-07-30,2021-08-08,Hadel ABOUD,2845.0,LBA,F,100-metres,preliminary-round,0.126,12.7,12.70 PB,5.0
The XXXII Olympic Games (Athletics),OLY,2021,"Olympic Stadium, Tokyo",2021-07-30,2021-08-08,Bashair Obaid AL MANWARI,3288.0,QAT,F,100-metres,preliminary-round,0.142,13.12,13.12 PB,6.0
The XXXII Olympic Games (Athletics),OLY,2021,"Olympic Stadium, Tokyo",2021-07-30,2021-08-08,Kimia YOUSOFI,1001.0,AFG,F,100-metres,preliminary-round,0.157,13.29,13.29 NR,7.0
The XXXII Olympic Games (Athletics),OLY,2021,"Olympic Stadium, Tokyo",2021-07-30,2021-08-08,Alba Rosana MBO NCHAMA,2094.0,GEQ,F,100-metres,preliminary-round,0.148,13.36,13.36 PB,8.0
The XXXII Olympic Games (Athletics),OLY,2021,"Olympic Stadium, Tokyo",2021-07-30,2021-08-08,Amed ELNA,1560.0,COM,F,100-metres,preliminary-round,0.161,14.3,14.30 PB,9.0
The XXXII Olympic Games (Athletics),OLY,2021,"Olympic Stadium, Tokyo",2021-07-30,2021-08-08,Fasihi FARZANEH,2316.0,IRI,F,100-metres,preliminary-round,0.142,11.76,11.76 Q,1.0
The XXXII Olympic Games (Athletics),OLY,2021,"Olympic Stadium, Tokyo",2021-07-30,2021-08-08,Azreen NABILA ALIAS,2905.0,MAS,F,100-metres,preliminary-round,0.168,11.77,11.77 Q PB,2.0
The XXXII Olympic Games (Athletics),OLY,2021,"Olympic Stadium, Tokyo",2021-07-30,2021-08-08,Mudhawi ALSHAMMARI,2828.0,KUW,F,100-metres,preliminary-round,0.167,11.82,11.82 Q,3.0
The XXXII Olympic Games (Athletics),OLY,2021,"Olympic Stadium, Tokyo",2021-07-30,2021-08-08,Regine TUGADE-WATSON,2248.0,GUM,F,100-metres,preliminary-round,0.135,12.17,12.17 SB,4.0
The XXXII Olympic Games (Athletics),OLY,2021,"Olympic Stadium, Tokyo",2021-07-30,2021-08-08,Charlotte AFRIAT,2959.0,MON,F,100-metres,preliminary-round,0.131,12.35,12.35,5.0
The XXXII Olympic Games (Athletics),OLY,2021,"Olympic Stadium, Tokyo",2021-07-30,2021-08-08,Silina PHA APHAY,2830.0,LAO,F,100-metres,preliminary-round,0.17,12.41,12.41 SB,6.0
The XXXII Olympic Games (Athletics),OLY,2021,"Olympic Stadium, Tokyo",2021-07-30,2021-08-08,Hsi-En HSIEH,3601.0,TPE,F,100-metres,preliminary-round,0.171,12.49,12.49 PB,7.0
The XXXII Olympic Games (Athletics),OLY,2021,"Olympic Stadium, Tokyo",2021-07-30,2021-08-08,Sarswati CHAUDHARY,3040.0,NEP,F,100-metres,preliminary-round,0.158,12.91,12.91 SB,8.0
The XXXII Olympic Games (Athletics),OLY,2021,"Olympic Stadium, Tokyo",2021-07-30,2021-08-08,Yasmeen ALDABBAGH,2826.0,KSA,F,100-metres,preliminary-round,0.153,13.34,13.34,9.0
The XXXII Olympic Games (Athletics),OLY,2021,"Olympic Stadium, Tokyo",2021-07-30,2021-08-08,Joella LLOYD,1023.0,ANT,F,100-metres,preliminary-round,0.179,11.55,11.55 Q,1.0
The XXXII Olympic Games (Athletics),OLY,2021,"Olympic Stadium, Tokyo",2021-07-30,2021-08-08,Asimenye SIMWAKA,2907.0,MAW,F,100-metres,preliminary-round,0.164,11.76,11.76 Q NR,2.0
The XXXII Olympic Games (Athletics),OLY,2021,"Olympic Stadium, Tokyo",2021-07-30,2021-08-08,Alvin TEHUPEIORY,2286.0,INA,F,100-metres,preliminary-round,0.194,11.89,11.89 Q SB,3.0
The XXXII Olympic Games (Athletics),OLY,2021,"Olympic Stadium, Tokyo",2021-07-30,2021-08-08,Carla SCICLUNA,2956.0,MLT,F,100-metres,preliminary-round,0.152,12.11,12.11 q,4.0
The XXXII Olympic Games (Athletics),OLY,2021,"Olympic Stadium, Tokyo",2021-07-30,2021-08-08,Hanna BARAKAT,3149.0,PLE,F,100-metres,preliminary-round,0.164,12.16,12.16 NR,5.0
The XXXII Olympic Games (Athletics),OLY,2021,"Olympic Stadium, Tokyo",2021-07-30,2021-08-08,Mazoon AL ALAWI,3116.0,OMA,F,100-metres,preliminary-round,0.191,12.35,12.35,6.0
The XXXII Olympic Games (Athletics),OLY,2021,"Olympic Stadium, Tokyo",2021-07-30,2021-08-08,Aissata Denn CONTE,2247.0,GUI,F,100-metres,preliminary-round,0.157,12.43,12.43 PB,7.0
The XXXII Olympic Games (Athletics),OLY,2021,"Olympic Stadium, Tokyo",2021-07-30,2021-08-08,Matie STANLEY,3685.0,TUV,F,100-metres,preliminary-round,0.159,14.52,14.52 PB,8.0
The XXXII Olympic Games (Athletics),OLY,2021,"Olympic Stadium, Tokyo",2021-07-30,2021-08-08,Houleye BA,2972.0,MTN,F,100-metres,preliminary-round,0.147,15.26,15.26 PB,9.0
The XXXII Olympic Games (Athletics),OLY,2021,"Olympic Stadium, Tokyo",2021-07-30,2021-08-08,Teahna DANIELS,3842.0,USA,F,100-metres,heats,0.136,11.04,11.04 Q,1.0
The XXXII Olympic Games (Athletics),OLY,2021,"Olympic Stadium, Tokyo",2021-07-30,2021-08-08,Dina ASHER-SMITH,1995.0,GBR,F,100-metres,heats,0.103,11.07,11.07 Q,2.0
The XXXII Olympic Games (Athletics),OLY,2021,"Olympic Stadium, Tokyo",2021-07-30,2021-08-08,Murielle AHOURÉ,1521.0,CIV,F,100-metres,heats,0.132,11.16,11.16 Q SB,3.0
