name,venue,date,country,event,sex,round,url
The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,preliminary-round,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/preliminary-round/result
The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/heats/result
The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,semi-final,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/semi-final/result
The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,final,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/final/result
The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,men,preliminary-round,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/men/100-metres/preliminary-round/result
The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,men,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/men/100-metres/heats/result
The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,men,semi-final,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/men/100-metres/semi-final/result
The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,men,final,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/men/100-metres/final/result
The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres-hurdles,women,preliminary-round,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres-hurdles/preliminary-round/result
The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres-hurdles,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres-hurdles/heats/result
The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres-hurdles,women,semi-final,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres-hurdles/semi-final/result
The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres-hurdles,women,final,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres-hurdles/final/result
The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,110-metres-hurdles,men,preliminary-round,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/men/110-metres-hurdles/preliminary-round/result
The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,110-metres-hurdles,men,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/men/110-metres-hurdles/heats/result
The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,110-metres-hurdles,men,semi-final,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/men/110-metres-hurdles/semi-final/result
The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,110-metres-hurdles,men,final,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/men/110-metres-hurdles/final/result
The XXXI Olympic Games,Rio de Janeiro (Estádio Olímpico),05 AUG 2016 - 21 AUG 2016,BRA,100-metres,women,preliminary-round,https://www.worldathletics.org/results/olympic-games/2016/the-xxxi-olympic-games-5771/women/100-metres/preliminary-round/result
The XXXI Olympic Games,Rio de Janeiro (Estádio Olímpico),05 AUG 2016 - 21 AUG 2016,BRA,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2016/the-xxxi-olympic-games-5771/women/100-metres/heats/result
The XXXI Olympic Games,Rio de Janeiro (Estádio Olímpico),05 AUG 2016 - 21 AUG 2016,BRA,100-metres,women,semi-final,https://www.worldathletics.org/results/olympic-games/2016/the-xxxi-olympic-games-5771/women/100-metres/semi-final/result
