,POS,BIB,ATHLETE,COUNTRY,MARK,Reaction Time,event,sex,category,ms*
0,1.0,1452,Natacha NGOYE AKAMABI,CGO,11.47 Q SB,0.124,100-metres,women,preliminary-round,
1,2.0,3461,Maggie BARRIE,SLE,11.53 Q SB,0.142,100-metres,women,preliminary-round,
2,3.0,3459,Amya CLARKE,SKN,11.67 Q,0.155,100-metres,women,preliminary-round,
3,4.0,2954,Djénébou DANTÉ,MLI,12.12 SB,0.169,100-metres,women,preliminary-round,
4,5.0,2845,Hadel ABOUD,LBA,12.70 PB,0.126,100-metres,women,preliminary-round,
5,6.0,3288,Bashair Obaid AL MANWARI,QAT,13.12 PB,0.142,100-metres,women,preliminary-round,
6,7.0,1001,Kimia YOUSOFI,AFG,13.29 NR,0.157,100-metres,women,preliminary-round,
7,8.0,2094,Alba Rosana MBO NCHAMA,GEQ,13.36 PB,0.148,100-metres,women,preliminary-round,
8,9.0,1560,Amed ELNA,COM,14.30 PB,0.161,100-metres,women,preliminary-round,
0,1.0,2316,Fasihi FARZANEH,IRI,11.76 Q,0.142,100-metres,women,preliminary-round,
1,2.0,2905,Azreen NABILA ALIAS,MAS,11.77 Q PB,0.168,100-metres,women,preliminary-round,
2,3.0,2828,Mudhawi ALSHAMMARI,KUW,11.82 Q,0.167,100-metres,women,preliminary-round,
3,4.0,2248,Regine TUGADE-WATSON,GUM,12.17 SB,0.135,100-metres,women,preliminary-round,
4,5.0,2959,Charlotte AFRIAT,MON,12.35,0.131,100-metres,women,preliminary-round,
5,6.0,2830,Silina PHA APHAY,LAO,12.41 SB,0.17,100-metres,women,preliminary-round,
6,7.0,3601,Hsi-En HSIEH,TPE,12.49 PB,0.171,100-metres,women,preliminary-round,
7,8.0,3040,Sarswati CHAUDHARY,NEP,12.91 SB,0.158,100-metres,women,preliminary-round,
8,9.0,2826,Yasmeen ALDABBAGH,KSA,13.34,0.153,100-metres,women,preliminary-round,
0,1.0,1023,Joella LLOYD,ANT,11.55 Q,0.179,100-metres,women,preliminary-round,
1,2.0,2907,Asimenye SIMWAKA,MAW,11.76 Q NR,0.164,100-metres,women,preliminary-round,
2,3.0,2286,Alvin TEHUPEIORY,INA,11.89 Q SB,0.194,100-metres,women,preliminary-round,
3,4.0,2956,Carla SCICLUNA,MLT,12.11 q,0.152,100-metres,women,preliminary-round,
4,5.0,3149,Hanna BARAKAT,PLE,12.16 NR,0.164,100-metres,women,preliminary-round,
5,6.0,3116,Mazoon AL ALAWI,OMA,12.35,0.191,100-metres,women,preliminary-round,
6,7.0,2247,Aissata Denn CONTE,GUI,12.43 PB,0.157,100-metres,women,preliminary-round,
7,8.0,3685,Matie STANLEY,TUV,14.52 PB,0.159,100-metres,women,preliminary-round,
8,9.0,2972,Houleye BA,MTN,15.26 PB,0.147,100-metres,women,preliminary-round,
0,1.0,3842,Teahna DANIELS,USA,11.04 Q,0.136,100-metres,women,heats,
1,2.0,1995,Dina ASHER-SMITH,GBR,11.07 Q,0.103,100-metres,women,heats,
2,3.0,1521,Murielle AHOURÉ,CIV,11.16 Q SB,0.132,100-metres,women,heats,
3,4.0,1471,Manqi GE,CHN,11.20 q,0.149,100-metres,women,heats,
4,5.0,3508,Salomé KORA,SUI,11.25,0.146,100-metres,women,heats,
5,6.0,3007,Marije VAN HUNENSTIJN,NED,11.27 SB,0.158,100-metres,women,heats,
6,7.0,1023,Joella LLOYD,ANT,11.54,0.173,100-metres,women,heats,
7,8.0,2907,Asimenye SIMWAKA,MAW,11.68 NR,0.161,100-metres,women,heats,
0,1.0,2521,Elaine THOMPSON-HERAH,JAM,10.82 Q,0.158,100-metres,women,heats,
1,2.0,3506,Mujinga KAMBUNDJI,SUI,10.95 Q =NR,0.111,100-metres,women,heats,
2,3.0,2130,Tatjana PINTO,GER,11.16 Q,0.164,100-metres,women,heats,
3,4.0,1383,Khamica BINGHAM,CAN,11.21 q,0.156,100-metres,women,heats,
4,5.0,1300,Rosângela SANTOS,BRA,11.33 SB,0.18,100-metres,women,heats,
5,6.0,3616,Kelly-Ann BAPTISTE,TTO,11.48,0.15,100-metres,women,heats,
6,7.0,2394,Vittoria FONTANA,ITA,11.53,0.149,100-metres,women,heats,
7,8.0,2286,Alvin TEHUPEIORY,INA,11.92,0.189,100-metres,women,heats,
0,1.0,2097,Alexandra BURGHARDT,GER,11.08 Q,0.133,100-metres,women,heats,
1,2.0,3878,Javianne OLIVER,USA,11.15 Q,0.15,100-metres,women,heats,
2,3.0,2383,Anna BONGIORNI,ITA,11.35 Q,0.147,100-metres,women,heats,
3,4.0,4018,Roda NJOBVU,ZAM,11.40,0.13,100-metres,women,heats,0.394
4,5.0,1478,Xiaojing LIANG,CHN,11.40,0.159,100-metres,women,heats,0.396
5,6.0,1150,Tristan EVELYN,BAR,11.42,0.125,100-metres,women,heats,
6,7.0,3461,Maggie BARRIE,SLE,11.45 SB,0.148,100-metres,women,heats,
7,8.0,2316,Fasihi FARZANEH,IRI,11.79,0.143,100-metres,women,heats,
